key,nd2,recorded_objective,recorded_zoom,recorded_px_um,magnification,px_um,source
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq001,H_P3-2-Static_A_70c-30T_19-20.12.21-001.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq002,H_P3-2-Static_A_70c-30T_19-20.12.21-002.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq003,H_P3-2-Static_A_70c-30T_19-20.12.21-003.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq004,H_P3-2-Static_A_70c-30T_19-20.12.21-004.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq005,H_P3-2-Static_A_70c-30T_19-20.12.21-005.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq006,H_P3-2-Static_A_70c-30T_19-20.12.21-006.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq007,H_P3-2-Static_A_70c-30T_19-20.12.21-007.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq008,H_P3-2-Static_A_70c-30T_19-20.12.21-008.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq009,H_P3-2-Static_A_70c-30T_19-20.12.21-009.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
0Pa_A1_19dec21_20xA_L2RA_FlatA_seq010,H_P3-2-Static_A_70c-30T_19-20.12.21-010.nd2,Plan Apo 20x DIC M N2,1.515,0.429042904290429,20x,0.65,"stage: 1.4Pa 19dec21 seq013/seq016, 102.8 um = 158 px (stage_calibration.py)"
