n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,1,42,0,,0.2011173184,1.920111732,45
3,1,42,1,1.771760125,0.2017072678,1.957361045,40.81608916
3,1,42,2,2,0.2032750428,1.991030602,37.0459015
3,1,42,3,2,0.2048359107,2.020331191,33.76714501
3,1,42,4,2,0.2063900677,2.045823035,30.91679687
3,1,42,5,2,0.2079377039,2.067994512,28.43991653
3,1,42,6,1.994271658,0.2094491602,2.087251742,26.29048211
3,1,43,0,,0.2011173184,1.920111732,45
3,1,43,1,1.77237627,0.2016842693,1.957363724,40.81552913
3,1,43,2,2,0.2032195347,1.991033383,37.04496414
3,1,43,3,2,0.2047484596,2.020336397,33.76557552
3,1,43,4,2,0.2062712276,2.045832486,30.91439663
3,1,43,5,2,0.2077880162,2.06800962,28.43653291
3,1,43,6,1.996084676,0.2092787301,2.087279808,26.28540731
3,1,44,0,,0.2011173184,1.920111732,45
3,1,44,1,1.771973324,0.2016993086,1.957361973,40.81589531
3,1,44,2,2,0.2032558248,1.991031565,37.045577
3,1,44,3,2,0.2048056258,2.020332993,33.76660154
3,1,44,4,2,0.2063489036,2.045826308,30.91596555
3,1,44,5,2,0.2078858438,2.067999746,28.43874435
3,1,44,6,1.994899623,0.2093901139,2.087261467,26.28872377
3,1,45,0,,0.2011173184,1.920111732,45
3,1,45,1,1.772566713,0.2016771866,1.957364552,40.81535627
3,1,45,2,2,0.203202436,1.991034243,37.04467507
3,1,45,3,2,0.2047215091,2.020338003,33.76509159
3,1,45,4,2,0.2062345856,2.045835402,30.9136564
3,1,45,5,2,0.2077418395,2.068014282,28.435489
3,1,45,6,1.996648953,0.2092261275,2.087288485,26.28383934
3,1,46,0,,0.2011173184,1.920111732,45
3,1,46,1,1.770957048,0.2017373121,1.957357551,40.81682023
3,1,46,2,2,0.2033476217,1.991026974,37.04712618
3,1,46,3,2,0.2049502997,2.020324391,33.76919692
3,1,46,4,2,0.206545559,2.045810678,30.9199363
3,1,46,5,2,0.2081336056,2.067974749,28.44434377
3,1,46,6,1.991911207,0.2096721466,2.08721504,26.29711967
3,1,47,0,,0.2011173184,1.920111732,45
3,1,47,1,1.772613973,0.2016754188,1.957364757,40.81531333
3,1,47,2,2,0.203198183,1.991034456,37.04460325
3,1,47,3,2,0.2047148266,2.020338402,33.76497159
3,1,47,4,2,0.2062255282,2.045836123,30.91347335
3,1,47,5,2,0.2077304605,2.068015432,28.43523162
3,1,47,6,1.996784287,0.2092131862,2.087290607,26.28345505
3,1,48,0,,0.2011173184,1.920111732,45
3,1,48,1,1.771571021,0.2017143401,1.957360223,40.81626121
3,1,48,2,2,0.203292119,1.991029748,37.04618967
