n_prediction,n_control,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,mean_solve_time_s,solver_success_rate,n_constraint_violations,violation_hours
3,1,42,13.41540859,0.2094491602,2.087251742,26.29048211,0.0272902,1,0,
3,1,43,13.41180159,0.2092787301,2.087279808,26.28540731,0.0266391,1,0,
3,1,44,13.41415884,0.2093901139,2.087261467,26.28872377,0.0278665,1,0,
3,1,45,13.41068954,0.2092261275,2.087288485,26.28383934,0.0264583,1,0,
3,1,46,13.42013148,0.2096721466,2.08721504,26.29711967,0.0261372,1,0,
3,1,47,13.41041511,0.2092131862,2.087290607,26.28345505,0.0263092,1,0,
3,1,48,13.41651887,0.2095015938,2.087243111,26.29204293,0.0259272,1,0,
3,1,49,13.41929096,0.2096323968,2.087221604,26.29593398,0.0256862,1,0,
3,1,50,13.42151721,0.2097374812,2.087204309,26.29906188,0.0258468,1,0,
3,1,51,13.4194324,0.2096391034,2.087220492,26.29613453,0.025811,1,0,
3,1,52,13.41818268,0.2095801192,2.087230195,26.29437939,0.0262775,1,0,
3,1,53,13.41679088,0.2095143702,2.087241028,26.29242101,0.026004,1,0,
3,1,54,13.41846227,0.2095933396,2.087228014,26.29477354,0.0256505,1,0,
3,1,55,13.41526707,0.2094424421,2.087252858,26.290281,0.0262074,1,0,
3,1,56,13.4102764,0.2092066269,2.087291689,26.28325958,0.0259152,1,0,
3,1,57,13.41471477,0.2094163883,2.087257137,26.28950648,0.0264532,1,0,
3,1,58,13.41832603,0.2095869409,2.087229058,26.29458411,0.0262579,1,0,
3,1,59,13.41679199,0.2095144351,2.087241014,26.29242335,0.0257536,1,0,
3,1,60,13.41526596,0.2094423774,2.087252873,26.29027859,0.0259534,1,0,
3,1,61,13.41526788,0.2094424907,2.087252846,26.29028279,0.0259541,1,0,
3,2,42,13.41717416,0.2089714989,2.086755368,26.34095046,0.0498213,1,0,
3,2,43,13.41361273,0.2088074275,2.086784212,26.33585976,0.0457255,1,0,
3,2,44,13.41594044,0.2089146559,2.086765357,26.33918724,0.047678,1,0,
3,2,45,13.41251444,0.2087567966,2.086793138,26.33428591,0.0459843,1,0,
3,2,46,13.42183481,0.209186132,2.086717683,26.34760463,0.0482126,1,0,
3,2,47,13.41224328,0.2087443389,2.086795325,26.33389971,0.0463848,1,0,
3,2,48,13.41827009,0.209021973,2.086746503,26.34251559,0.0477224,1,0,
3,2,49,13.42100576,0.2091478816,2.086724417,26.34641677,0.0481045,1,0,
3,2,50,13.42320185,0.2092490083,2.086706663,26.34955181,0.0490632,1,0,
3,2,51,13.42114522,0.2091543346,2.086723278,26.34661752,0.0496453,1,0,
3,2,52,13.41991215,0.2090975635,2.08673324,26.34485814,0.0469277,1,0,
3,2,53,13.41853873,0.2090342776,2.08674436,26.34289508,0.0474048,1,0,
3,2,54,13.42018798,0.2091102862,2.086731001,26.34525313,0.0475804,1,0,
3,2,55,13.41703453,0.2089650334,2.086756512,26.34074905,0.0522247,1,0,
3,2,56,13.41210627,0.2087380268,2.086796439,26.3337034,0.0470499,1,0,
3,2,57,13.41648927,0.2089399495,2.086760909,26.33997213,0.0514296,1,0,
3,2,58,13.42005346,0.2091041238,2.086732074,26.34506303,0.0479263,1,0,
3,2,59,13.4185398,0.2090343377,2.086744345,26.34289752,0.047938,1,0,
3,2,60,13.41703351,0.2089649707,2.086756525,26.34074688,0.0485759,1,0,
3,2,61,13.41703534,0.2089650774,2.0867565,26.34075093,0.0488363,1,0,
3,3,42,13.41772649,0.2089563505,2.086733569,26.34323246,0.0791887,1,0,
3,3,43,13.41417643,0.2087921277,2.086762034,26.33818261,0.081953,1,0,
3,3,44,13.4164967,0.2088994494,2.086743423,26.34148369,0.0804388,1,0,
3,3,45,13.41308166,0.2087414538,2.086770846,26.3366212,0.0818937,1,0,
3,3,46,13.4223725,0.2091712099,2.086696389,26.34983238,0.0799283,1,0,
3,3,47,13.41281136,0.2087289812,2.086773002,26.33623829,0.079618,1,0,
3,3,48,13.41881897,0.2090068759,2.086724821,26.34478495,0.079858,1,0,
3,3,49,13.42154604,0.2091329172,2.086703031,26.34865429,0.0810851,1,0,
3,3,50,13.42373523,0.2092341573,2.086685519,26.35176335,0.0799287,1,0,
3,3,51,13.42168506,0.2091393765,2.086701907,26.3488534,0.0834848,1,0,
3,3,52,13.42045584,0.2090825464,2.086711737,26.34710825,0.0823218,1,0,
3,3,53,13.41908673,0.209019196,2.08672271,26.34516113,0.0817445,1,0,
3,3,54,13.4207308,0.2090952818,2.086709528,26.34750007,0.0801376,1,0,
3,3,55,13.41758732,0.2089498796,2.086734697,26.34303268,0.081114,1,0,
3,3,56,13.41267475,0.2087226627,2.086774102,26.33604349,0.0812207,1,0,
3,3,57,13.41704377,0.2089247716,2.086739037,26.34226202,0.0801899,1,0,
3,3,58,13.42059671,0.2090891112,2.086710585,26.34731166,0.079644,1,0,
3,3,59,13.4190878,0.2090192543,2.086722693,26.34516364,0.0817354,1,0,
3,3,60,13.4175863,0.2089498172,2.08673471,26.34303054,0.0801681,1,0,
3,3,61,13.41758813,0.2089499248,2.086734686,26.34303453,0.0798425,1,0,
4,1,42,13.42599973,0.2095779794,2.087366816,26.27898543,0.0361028,1,0,
4,1,43,13.42241636,0.2094198991,2.087403163,26.27311798,0.0366318,1,0,
4,1,44,13.42475825,0.209523223,2.087379409,26.27695273,0.0360774,1,0,
4,1,45,13.42131139,0.2093711169,2.08741442,26.27130284,0.0366036,1,0,
4,1,46,13.43069054,0.2097847284,2.087319347,26.28665164,0.0364477,1,0,
4,1,47,13.42103874,0.2093590921,2.08741716,26.2708593,0.036471,1,0,
4,1,48,13.42710259,0.2096266052,2.087355649,26.28078882,0.0358019,1,0,
4,1,49,13.42985569,0.2097479209,2.087327856,26.28528036,0.0369953,1,0,
4,1,50,13.43206652,0.2098453169,2.087305496,26.28889148,0.0382998,1,0,
4,1,51,13.42999622,0.209754123,2.087326409,26.28551284,0.0365098,1,0,
4,1,52,13.42875509,0.2096994347,2.087338953,26.28348646,0.0362642,1,0,
4,1,53,13.42737268,0.2096384901,2.087352975,26.28122331,0.0379193,1,0,
4,1,54,13.42903279,0.2097116804,2.087336125,26.28394233,0.0365189,1,0,
4,1,55,13.4258591,0.2095717669,2.087368271,26.27875192,0.0370648,1,0,
4,1,56,13.42090088,0.2093530063,2.087418562,26.27063312,0.0383032,1,0,
4,1,57,13.42531051,0.2095475846,2.087373799,26.27785793,0.0363907,1,0,
4,1,58,13.42889751,0.2097057302,2.087337465,26.28372468,0.0377649,1,0,
4,1,59,13.42737376,0.2096385416,2.087352951,26.28122656,0.0382559,1,0,
4,1,60,13.42585796,0.2095717131,2.087368294,26.27874875,0.0370062,1,0,
4,1,61,13.42585992,0.2095718067,2.087368254,26.2787543,0.0369262,1,0,
4,2,42,13.41422178,0.208974922,2.086842674,26.33116709,0.0638561,1,0,
4,2,43,13.41063425,0.20882277,2.086878605,26.3254131,0.0647034,1,0,
4,2,44,13.4129791,0.2089222241,2.086855121,26.32917388,0.0643904,1,0,
4,2,45,13.40952764,0.2087758105,2.086889729,26.32363338,0.0640981,1,0,
4,2,46,13.41891493,0.2091738287,2.086795736,26.33868529,0.0640985,1,0,
4,2,47,13.40925448,0.2087642298,2.08689244,26.32319804,0.063694,1,0,
4,2,48,13.41532551,0.2090217103,2.08683163,26.33293585,0.061829,1,0,
4,2,49,13.41808009,0.2091384291,2.086804142,26.3373414,0.0647195,1,0,
4,2,50,13.42029105,0.2092321034,2.086782031,26.34088264,0.0624356,1,0,
4,2,51,13.41822058,0.2091443936,2.086802715,26.33756902,0.0659871,1,0,
4,2,52,13.416979,0.2090917849,2.08681512,26.3355816,0.060539,1,0,
4,2,53,13.4155959,0.2090331515,2.086828981,26.3333626,0.0608791,1,0,
4,2,54,13.41725679,0.2091035642,2.086812325,26.33602848,0.061101,1,0,
4,2,55,13.41408108,0.2089689461,2.086844109,26.33093841,0.0616723,1,0,
4,2,56,13.40911641,0.2087583702,2.086893826,26.32297621,0.0622694,1,0,
4,2,57,13.41353194,0.2089456707,2.086849577,26.3300614,0.0627555,1,0,
4,2,58,13.4171214,0.2090978379,2.086813654,26.33581463,0.0625902,1,0,
4,2,59,13.41559699,0.2090332005,2.086828958,26.33336568,0.0642385,1,0,
4,2,60,13.41408,0.2089688943,2.086844129,26.33093553,0.061777,1,0,
4,2,61,13.41408189,0.2089689838,2.086844093,26.33094065,0.0607789,1,0,
4,3,42,13.41441419,0.2089605298,2.086826295,26.33284777,0.100532,1,0,
4,3,43,13.4108208,0.2088087335,2.08686269,26.32704563,0.0993606,1,0,
4,3,44,13.4131695,0.2089079555,2.086838903,26.33083797,0.100339,1,0,
4,3,45,13.40971235,0.208761881,2.086873957,26.32525105,0.0991626,1,0,
4,3,46,13.41911479,0.2091589723,2.086778758,26.34042814,0.105327,1,0,
4,3,47,13.40943876,0.2087503286,2.086876703,26.32481207,0.102719,1,0,
4,3,48,13.41551971,0.2090072085,2.086815109,26.33463133,0.0975398,1,0,
4,3,49,13.41827865,0.2091236567,2.08678727,26.33907324,0.104396,1,0,
4,3,50,13.42049305,0.2092171063,2.086764877,26.34264375,0.102061,1,0,
4,3,51,13.41841937,0.2091296049,2.086785824,26.33930286,0.106229,1,0,
4,3,52,13.41717582,0.209077121,2.086798388,26.33729891,0.100969,1,0,
4,3,53,13.41579052,0.2090186219,2.086812425,26.33506171,0.0975184,1,0,
4,3,54,13.41745404,0.2090888711,2.086795558,26.33774953,0.102378,1,0,
4,3,55,13.41427326,0.2089545673,2.086827748,26.33261726,0.0968943,1,0,
4,3,56,13.40930045,0.2087444832,2.086878107,26.32458835,0.0985813,1,0,
4,3,57,13.41372322,0.2089313505,2.086833289,26.33173265,0.096757,1,0,
4,3,58,13.41731845,0.2090831582,2.086796903,26.33753389,0.107176,1,0,
4,3,59,13.4157916,0.2090186738,2.086812405,26.33506457,0.101331,1,0,
4,3,60,13.41427219,0.2089545167,2.086827769,26.33261436,0.101132,1,0,
4,3,61,13.41427408,0.2089546061,2.086827732,26.33261945,0.101728,1,0,
6,1,42,13.44020775,0.2092310377,2.087119419,26.30291458,0.0703726,1,0,
