kind,label,morph,gamma_min,alpha_gamma,tau_opt,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,morph:low,5.920000000000001,,,,closed,42,12.19045333,0.2081334599,2.110718659,23.63565225,0,0.0001758865155,0.01946580049,2.191675998,1.0
oat,morph:low,5.920000000000001,,,,open,42,12.18842703,0.2084504609,2.110964328,23.61158076,0,0,0.01959470044,2.204403799,1.0
oat,morph:low,5.920000000000001,,,,closed,43,12.18658758,0.2080103966,2.110779426,23.62743151,0,0.0001754284704,0.01947245862,2.192420168,1.0
oat,morph:low,5.920000000000001,,,,open,43,12.18456591,0.2083266581,2.111024571,23.60341061,0,0,0.01960106207,2.205119483,1.0
oat,morph:low,5.920000000000001,,,,closed,44,12.18911482,0.2080908623,2.110739709,23.63280499,0,0.0001757284522,0.01946810635,2.191933728,1.0
oat,morph:low,5.920000000000001,,,,open,44,12.18709013,0.2084076082,2.110985196,23.60875102,0,0,0.0195969037,2.204651666,1.0
oat,morph:low,5.920000000000001,,,,closed,45,12.18539364,0.2079724367,2.110798268,23.6248848,0,0.0001752715492,0.01947453007,2.192651534,1.0
oat,morph:low,5.920000000000001,,,,open,45,12.18337355,0.2082884468,2.111043237,23.60088085,0,0,0.01960303083,2.205340969,1.0
oat,morph:low,5.920000000000001,,,,closed,46,12.19550603,0.2082934452,2.110639066,23.64640637,0,0.0001770581962,0.01945665277,2.190660627,1.0
oat,morph:low,5.920000000000001,,,,open,46,12.19346949,0.2086121504,2.110885751,23.62223973,0,0,0.01958640109,2.203470123,1.0
oat,morph:low,5.920000000000001,,,,closed,47,12.18509922,0.2079630291,2.110802848,23.62426371,0,0.0001752288458,0.01947503836,2.192708258,1.0
oat,morph:low,5.920000000000001,,,,open,47,12.18307953,0.2082789708,2.11104777,23.60026425,0,0,0.0196035114,2.205395032,1.0
oat,morph:low,5.920000000000001,,,,closed,48,12.19164144,0.2081712924,2.110700004,23.63817657,0,0.0001760252279,0.01946375703,2.191447583,1.0
oat,morph:low,5.920000000000001,,,,open,48,12.18961373,0.2084885186,2.110945834,23.61408954,0,0,0.0195927469,2.204184026,1.0
oat,morph:low,5.920000000000001,,,,closed,49,12.19460588,0.2082653229,2.110653451,23.64447165,0,0.0001766535352,0.01945844495,2.190857283,1.0
oat,morph:low,5.920000000000001,,,,open,49,12.19257265,0.2085834719,2.11089984,23.62033204,0,0,0.01958788473,2.203637032,1.0
oat,morph:low,5.920000000000001,,,,closed,50,12.19698755,0.2083399383,2.110615688,23.6495594,0,0.0001777169617,0.01945373155,2.190340066,1.0
oat,morph:low,5.920000000000001,,,,open,50,12.19494578,0.2086595479,2.110862851,23.62534918,0,0,0.019583979,2.203197637,1.0
oat,morph:low,5.920000000000001,,,,closed,51,12.19475753,0.2082700406,2.110651,23.64480041,0,0.0001767253952,0.01945813874,2.19082371,1.0
oat,morph:low,5.920000000000001,,,,open,51,12.19272369,0.2085882895,2.110897444,23.6206558,0,0,0.01958763339,2.203608756,1.0
oat,morph:high,8.88,,,,closed,42,14.38522242,0.2086876111,2.067484206,28.50576242,0,0.0001299378041,0.01468513949,1.653404886,1.0
oat,morph:high,8.88,,,,open,42,14.38583266,0.2084504609,2.067352125,28.51795359,0,0,0.01475372003,1.659793503,1.0
oat,morph:high,8.88,,,,closed,43,14.38171815,0.2085545895,2.067523348,28.49986252,0,0.0001232993992,0.01469341052,1.654259098,1.0
oat,morph:high,8.88,,,,open,43,14.38231329,0.2083266581,2.067395125,28.51172332,0,0,0.01475852586,1.66033416,1.0
oat,morph:high,8.88,,,,closed,44,14.38400534,0.2086438836,2.067498719,28.50363784,0,0.0001293240292,0.01468711902,1.653620628,1.0
oat,morph:high,8.88,,,,open,44,14.38461415,0.2084076082,2.067367021,28.51579575,0,0,0.01475538445,1.659980751,1.0
oat,morph:high,8.88,,,,closed,45,14.38063867,0.2085122898,2.067534964,28.49807985,0,0.0001203662206,0.01469644765,1.654566795,1.0
oat,morph:high,8.88,,,,open,45,14.38122663,0.2082884468,2.06740845,28.50979446,0,0,0.01476001306,1.660501469,1.0
oat,morph:high,8.88,,,,closed,46,14.38981523,0.2088513797,2.067429064,28.51380828,0,0.0001313666173,0.01467814352,1.652633887,1.0
oat,morph:high,8.88,,,,open,46,14.39042892,0.2086121504,2.067296042,28.526082,0,0,0.01474745025,1.659088153,1.0
oat,morph:high,8.88,,,,closed,47,14.38037224,0.2085018268,2.067537784,28.49764482,0,0.0001196603335,0.0146971848,1.654641528,1.0
oat,morph:high,8.88,,,,open,47,14.38095843,0.2082789708,2.067411683,28.5093241,0,0,0.01476037618,1.66054232,1.0
oat,morph:high,8.88,,,,closed,48,14.38630269,0.2087265701,2.067471396,28.50764183,0,0.0001305754132,0.01468333618,1.653209249,1.0
oat,morph:high,8.88,,,,open,48,14.38691437,0.2084885186,2.067338925,28.51986677,0,0,0.01475224422,1.659627475,1.0
oat,morph:high,8.88,,,,closed,49,14.38899846,0.2088225343,2.06743904,28.51236155,0,0.0001312600563,0.01467931721,1.652764762,1.0
oat,morph:high,8.88,,,,open,49,14.3896118,0.2085834719,2.067306101,28.52462765,0,0,0.01474857089,1.659214226,1.0
oat,morph:high,8.88,,,,closed,50,14.39116073,0.2088990226,2.067412851,28.51616829,0,0.0001315180524,0.01467623991,1.652421364,1.0
oat,morph:high,8.88,,,,open,50,14.39177486,0.2086595479,2.067279701,28.52845359,0,0,0.0147456203,1.658882284,1.0
oat,morph:high,8.88,,,,closed,51,14.38913594,0.2088273923,2.067437347,28.51260658,0,0.000131287326,0.01467911352,1.652742154,1.0
oat,morph:high,8.88,,,,open,51,14.38974936,0.2085882895,2.06730439,28.52487437,0,0,0.01474838109,1.659192872,1.0
oat,gamma_min:low,,0.002224,,,closed,42,13.35753973,0.2056387166,2.086895997,26.28763586,0,0.001843301895,0.0001657752647,0.03846105382,1.0
oat,gamma_min:low,,0.002224,,,open,42,13.3576274,0.2056185947,2.086882742,26.28890074,0,0.001853587444,0.0001586014023,0.03776652361,1.0
oat,gamma_min:low,,0.002224,,,closed,43,13.3543365,0.2055373644,2.086944037,26.28109124,0,0.001828520287,0.0001644909071,0.03815775528,1.0
oat,gamma_min:low,,0.002224,,,open,43,13.35442318,0.2055174719,2.086930926,26.28234233,0,0.001838679467,0.0001573990772,0.03747123795,1.0
oat,gamma_min:low,,0.002224,,,closed,44,13.35643087,0.2056036535,2.086912637,26.28536939,0,0.001838174245,0.0001653308226,0.03835598644,1.0
oat,gamma_min:low,,0.002224,,,open,44,13.35651821,0.2055836089,2.086899432,26.28662948,0,0.001848418518,0.0001581845325,0.0376641381,1.0
oat,gamma_min:low,,0.002224,,,closed,45,13.35334734,0.2055061044,2.086958926,26.27906453,0,0.001823948362,0.0001640958387,0.03806421427,1.0
oat,gamma_min:low,,0.002224,,,open,45,13.35343374,0.2054862765,2.086945857,26.28031166,0,0.001834072828,0.0001570271448,0.03737993767,1.0
oat,gamma_min:low,,0.002224,,,closed,46,13.36172094,0.2057709547,2.086833341,26.29617241,0,0.001862685957,0.0001674479086,0.03885734881,1.0
oat,gamma_min:low,,0.002224,,,open,46,13.36180981,0.2057505579,2.086819907,26.29745428,0,0.001873117762,0.0001601756814,0.03815328486,1.0
oat,gamma_min:low,,0.002224,,,closed,47,13.35310293,0.2054983249,2.086962549,26.2785694,0,0.001822826133,0.0001640045863,0.03804193331,1.0
oat,gamma_min:low,,0.002224,,,open,47,13.35318931,0.2054784995,2.086949483,26.27981632,0,0.001832949901,0.0001569367827,0.03735772936,1.0
oat,gamma_min:low,,0.002224,,,closed,48,13.35852403,0.2056698501,2.086881245,26.28964573,0,0.001847861387,0.0001661657658,0.03855390023,1.0
oat,gamma_min:low,,0.002224,,,open,48,13.35861196,0.2056496705,2.086867951,26.29091428,0,0.001858176238,0.0001589713443,0.03785739924,1.0
oat,gamma_min:low,,0.002224,,,closed,49,13.36097827,0.2057475659,2.086844567,26.29464638,0,0.001859217106,0.0001671426407,0.0387857271,1.0
oat,gamma_min:low,,0.002224,,,open,49,13.36106687,0.2057272314,2.086831173,26.2959244,0,0.001869615648,0.0001598928626,0.03808384713,1.0
oat,gamma_min:low,,0.002224,,,closed,50,13.36294519,0.2058097378,2.08681508,26.29866307,0,0.001868363745,0.0001679332909,0.03897286532,1.0
oat,gamma_min:low,,0.002224,,,open,50,13.36303438,0.2057892695,2.086801598,26.2999495,0,0.001878832083,0.0001606356942,0.03826636399,1.0
oat,gamma_min:low,,0.002224,,,closed,51,13.3611032,0.2057514813,2.086842657,26.2949052,0,0.001859805904,0.0001671944934,0.03879790401,1.0
