kind,label,morph,gamma_min,gamma_max,tau_h,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,morph:low,2.4000000000000004,,,,closed,42,12.62345705,0.269344245,2.127361891,32.47328334,0,0.0001076531078,0.01684625325,1.05343998,1.0
oat,morph:low,2.4000000000000004,,,,open,42,12.61533638,0.2695047819,2.127701994,32.45303028,0,0,0.01709775754,1.068609846,1.0
oat,morph:low,2.4000000000000004,,,,closed,43,12.62345747,0.2693442372,2.127361807,32.47328854,0,0.0001076551225,0.01684624383,1.053439394,1.0
oat,morph:low,2.4000000000000004,,,,open,43,12.6153361,0.2695047866,2.127702039,32.45302749,0,0,0.01709775835,1.068609897,1.0
oat,morph:low,2.4000000000000004,,,,closed,44,12.62346086,0.2693441759,2.127361442,32.47331097,0,0.0001076834494,0.01684616397,1.053434525,1.0
oat,morph:low,2.4000000000000004,,,,open,44,12.61533598,0.2695047895,2.127702039,32.45302749,0,0,0.01709775885,1.068609928,1.0
oat,morph:low,2.4000000000000004,,,,closed,45,12.62345762,0.2693442339,2.127361814,32.47328807,0,0.0001076529967,0.0168462492,1.053439722,1.0
oat,morph:low,2.4000000000000004,,,,open,45,12.61533663,0.2695047764,2.127701992,32.45303037,0,0,0.01709775648,1.06860978,1.0
oat,morph:low,2.4000000000000004,,,,closed,46,12.62345824,0.2693442236,2.127361713,32.47329435,0,0.0001076561687,0.01684623748,1.053438999,1.0
oat,morph:low,2.4000000000000004,,,,open,46,12.6153366,0.2695047771,2.127701976,32.45303136,0,0,0.01709775675,1.068609797,1.0
oat,morph:high,3.5999999999999996,,,,closed,42,13.79338866,0.2696308769,2.103183997,33.98619315,0,8.204440241e-05,0.01390886494,0.8697454305,1.0
oat,morph:high,3.5999999999999996,,,,open,42,13.79868963,0.2695047819,2.102924975,34.00159394,0,0,0.01406898415,0.8793115093,1.0
oat,morph:high,3.5999999999999996,,,,closed,43,13.79338831,0.2696308824,2.103184019,33.98619182,0,8.204549015e-05,0.01390886189,0.8697452389,1.0
oat,morph:high,3.5999999999999996,,,,open,43,13.79868941,0.2695047866,2.102925007,34.00159199,0,0,0.01406898488,0.8793115548,1.0
oat,morph:high,3.5999999999999996,,,,closed,44,13.79338838,0.2696308812,2.103183986,33.98619389,0,8.204518835e-05,0.01390886474,0.8697454185,1.0
oat,morph:high,3.5999999999999996,,,,open,44,13.79868931,0.2695047895,2.102925008,34.00159192,0,0,0.01406898527,0.8793115791,1.0
oat,morph:high,3.5999999999999996,,,,closed,45,13.79338248,0.2696309987,2.10318427,33.98617684,0,8.211963981e-05,0.01390868753,0.8697346691,1.0
oat,morph:high,3.5999999999999996,,,,open,45,13.79868985,0.2695047764,2.102924971,34.00159415,0,0,0.01406898331,0.8793114571,1.0
oat,morph:high,3.5999999999999996,,,,closed,46,13.79338901,0.2696308681,2.103183955,33.98619574,0,8.204373491e-05,0.01390886722,0.8697455718,1.0
oat,morph:high,3.5999999999999996,,,,open,46,13.79868981,0.2695047771,2.102924961,34.00159477,0,0,0.0140689835,0.8793114688,1.0
oat,gamma_min:low,,0.002224,,,closed,42,13.21571834,0.2683361589,2.118314218,33.03246235,0,0.0008927083923,0.001365471003,0.09000693582,1.0
oat,gamma_min:low,,0.002224,,,open,42,13.24594437,0.2677182839,2.115740742,33.18944292,0,0.001170526349,0.0001687519896,0.01766379985,1.0
oat,gamma_min:low,,0.002224,,,closed,43,13.21571455,0.2683362292,2.118314382,33.03245256,0,0.0008926736838,0.001365595757,0.09001453111,1.0
oat,gamma_min:low,,0.002224,,,open,43,13.24594413,0.2677182886,2.115740779,33.18944061,0,0.001170526362,0.0001687520163,0.01766380157,1.0
oat,gamma_min:low,,0.002224,,,closed,44,13.21571465,0.2683362267,2.118314378,33.03245281,0,0.0008926777034,0.001365590236,0.09001419752,1.0
oat,gamma_min:low,,0.002224,,,open,44,13.24594402,0.2677182915,2.11574078,33.18944057,0,0.001170526369,0.0001687520237,0.01766380208,1.0
oat,gamma_min:low,,0.002224,,,closed,45,13.21571842,0.268336157,2.118314219,33.03246226,0,0.0008927059063,0.001365474835,0.09000716761,1.0
oat,gamma_min:low,,0.002224,,,open,45,13.24594461,0.2677182785,2.115740738,33.18944309,0,0.001170526336,0.0001687519716,0.01766379864,1.0
oat,gamma_min:low,,0.002224,,,closed,46,13.21571455,0.2683362292,2.118314396,33.03245171,0,0.0008926712406,0.001365617076,0.09001582609,1.0
oat,gamma_min:low,,0.002224,,,open,46,13.24594457,0.2677182792,2.115740726,33.18944386,0,0.001170526338,0.0001687519722,0.0176637987,1.0
oat,gamma_min:high,,0.003336,,,closed,42,13.29544207,0.2706567678,2.112499044,33.41041454,0,0.0008855052269,0.001410255945,0.09273985986,1.0
